Wavenumbers [1/cm];Absorbance;
2124,000;0,05233097;
2122,000;0,05213237;
2120,000;0,05198944;
2118,000;0,05182469;
2116,000;0,05167258;
2114,000;0,05150366;
2112,000;0,05138612;
2110,000;0,05118763;
2108,000;0,05108297;
2106,000;0,05090141;
2104,000;0,05076146;
2102,000;0,05061448;
2100,000;0,05053949;
2098,000;0,05040729;
2096,000;0,05029237;
2094,000;0,05020511;
2092,000;0,05012619;
2090,000;0,05007184;
2088,000;0,0499922;
2086,000;0,04984212;
2084,000;0,04973757;
2082,000;0,04968786;
2080,000;0,04962921;
2078,000;0,04958987;
2076,000;0,04950905;
